scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S2,A5,containment_latency,54,0,117.28803703703704,97.06798832309724,91.25099999999998,40.500999999999976,177.126,92.19451851851852,144.1695185185185
S2,A5,t_service_restore,54,0,137.4537037037037,97.32697606030214,109.5,61.625,196.875,113.16620370370372,163.39953703703702
S2,A5,nri,54,0,0.9898834203486745,0.0002970937665072653,0.9898390827815773,0.9897439931538152,0.9899258621724936,0.9898110254194932,0.9899687913652435
S2,A5,fp_rate_holdout,54,0,0.018850308641975275,0.002891213267593382,0.01854166666666665,0.0170833333333333,0.0208333333333333,0.018086419753086384,0.01959876543209873
S2,A5,blast_recall,54,0,0.16358024691358017,0.02268046058132571,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.15740740740740733,0.16666666666666657
S2,A5,whatif_abs_err,54,0,0.02217731551945783,0.01633776700618127,0.01657634084633905,0.00947700645609475,0.035862242921134796,0.017887385284958375,0.026544407185660666
S2,A5,orchestrator_cpu_s,54,0,0.0003788376111109907,3.5995080372627875e-05,0.00037504100000025,0.000352512000000475,0.000404058000000575,0.00036944910648141016,0.0003884033842590715
S2,A5,availability_below_amin,54,0,0.10471450617283946,0.0809381745730076,0.08229166666666665,0.04177083333333328,0.1540625,0.08417380401234563,0.12693692129629627
S2,A5,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A5,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A5,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A5,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A5,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A5,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A5,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A5,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A5,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A0,detection_latency,54,0,5.472222222222222,1.006660210733599,5.5,5.0,6.0,5.203703703703703,5.731481481481482
S3,A0,containment_latency,54,0,238.25230228223896,119.65039683501885,207.35235778148117,151.55851611906962,314.25364805996503,208.10764431645634,271.82634574587695
S3,A0,t_service_restore,54,0,322.4259259259259,119.91854182591943,291.0,239.125,400.5,291.3608796296296,354.34537037037035
S3,A0,nri,54,0,0.6938563908742871,0.13431850935072212,0.7288505709193539,0.6071041633540832,0.7915213357336733,0.6579159638310207,0.7284542003135297
S3,A0,fp_rate_holdout,54,0,0.012569444444444407,0.002300405009459682,0.01229166666666665,0.010937499999999975,0.013958333333333274,0.01197530864197527,0.013179012345678974
S3,A0,blast_recall,54,0,0.4444444444444444,0.11762855940383433,0.5,0.5,0.5,0.4111111111111111,0.4722222222222222
S3,A0,whatif_abs_err,0,54,,,,,,,
S3,A0,orchestrator_cpu_s,54,0,6.580190740747951e-05,8.920554393711239e-06,6.379750000040652e-05,5.989750000034987e-05,6.722949999948824e-05,6.353982916657111e-05,6.82885763889233e-05
S3,A0,availability_below_amin,54,0,0.263341049382716,0.09969320373628818,0.23666666666666664,0.19145833333333329,0.32635416666666667,0.23722897376543206,0.2904876543209876
S3,A0,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3,A0,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A0,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A0,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S3,A0,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S3,A0,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
