t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
439.0,0.9985869999999999,0.0018100453614554421,0.9977398726945652,0.9994341273054346,20,S2,framework
440.0,0.9989809999999999,0.0015576125455662184,0.9982520148890545,0.9997099851109453,20,S2,framework
441.0,0.998445,0.0019601973584847505,0.9975275993968029,0.9993624006031971,20,S2,framework
442.0,0.9981219999999998,0.0017494558552514814,0.9973032294563464,0.9989407705436533,20,S2,framework
443.0,0.9989064999999998,0.0015007271044747896,0.9982041380950007,0.9996088619049989,20,S2,framework
444.0,0.9977734999999999,0.0024608498211197813,0.9966217868316799,0.9989252131683198,20,S2,framework
445.0,0.9981270000000002,0.002050828074089512,0.9971671829162359,0.9990868170837646,20,S2,framework
446.0,0.9984114999999999,0.0018316753188499936,0.9975542495628943,0.9992687504371055,20,S2,framework
447.0,0.9989889999999999,0.001595770396358686,0.9982421564651656,0.9997358435348342,20,S2,framework
448.0,0.9983685000000001,0.0016641839315095983,0.9975896379451211,0.9991473620548791,20,S2,framework
449.0,0.9983115,0.0017951492387747745,0.9974713442945796,0.9991516557054204,20,S2,framework
450.0,0.9981315000000001,0.0016844935987443007,0.9973431327282656,0.9989198672717345,20,S2,framework
